,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
107,I don't care if it was misleading I'm just happy I posted it. :) I may have done some shell removal afterwards. Lets raise our glasses.. I am (insert name here) and I refuse to apologise for being...,"Thanks, Oh_no_she_DIDNT   I'm so very glad that I have been welcomed back by you and another great perc member so quickly. I'm back because I must admit I need help.",http://i1276.photobucket.com/albums/y468/2eng/image_zpsda8e95c7.jpg  Haha,"Quoted for truth.    edit: here's a cheesy video.  although, the message is pretty good.  http://www.youtube.com/watch?v=hzBCI13rJmA&feature=player_embedded","thanks, just to much to do to little time.",".... how do I make it better?  He's angry at me because I've been talking to my ex boyfriend. I have to say this, I wouldnt sleep with my ex if he so was the last person in the world alive. He...",I feel exactly this way. The Doctor seems very ENTP.,"I cant speak for the rest my people, but I usually we put most of our time and effort in accomplishing something. We deal with whatever is in front os us at the moment",Think I posted this before but I'm still feelin' it....   https://www.youtube.com/watch?v=Cu8qsC1WLiE,"It's almost seems like more people like ESTJs than ENFJs!I can't say I've ever really connected with one. These are certaintly the most dedicated relationships in my life, but they can be bland......",hello,"Ugh, so much procrastination. I started a paper that I had multiple months to do the day that it was due at 3 a.m. and finished it at 6 a.m. even though it had to be 8 pages and be a synthesis of 5...","awww. i really like them, but they never come all the way down to australia.... so oh well...",Cool! I would love to get a pet! But it says I need 100 points. How do I get points and how do I see how many points I have?,"OrangeAppled  These are my own observations, based mostly on INFPs I've come across on this forum. No it's not scientific, I wouldn't claim it is.  I have to point out, though, that your quote...",I'm more playful and tend to leave with out telling people sometimes without shoes
108,The ever-present danger for  writers is sacrificing truth and intellectual quality (T) for the sake of recognition or popularity (F).  From personality junkie intp  I don't care what you are or...,7879378793  Me and my beautiful girlfriend who has put us on a one month break from our relationship. :/,Happy birthday to the most talented and intelligent ENFP I have the pleasure of knowing. You truly are an inspirer and I am a better person because of you. Thank you for being you! Love you...,Sounds like an interesting project.  The fact that you committed to a project for 2 years is quite impressive and speaks volumes about you.  You're ultimately living life - its the risk we take when...,"ya, that happens to me a lot too","Hello!!!  Definetely sounds like you're an f anyway ;)  I hope you'll like the forum and verything. My advic would be to take mbti with a grain of salt. At its best, it can be a way to greater...",Heh that's funny... Seems that not many people have ESTJs as friends...,I skim through most of the stuff people type here because its too long,Fleeting thoughts of acknowledging and getting lost in the depth love that we share for one another. It could be the most mundane thing but every now and the simplest act will make me appreciate the...,"I really love the enneagram. There are a bunch of great books on it-- if you feel like it's something you want to learn more about, I have to say that is the best way to go. :)",i feel as though i am incapable of creating anything   and i wish i could,http://youtu.be/KtYkyB35zkk,agree completely...,"So you have a different type inside and outside? Ok, and perhaps you have a split personality too? Just sayin' is all...  I had a hard time also determining between extrovert and introvert....","If that is the case then that's fine, I don't mind being wrong.",I have done this. It was awesome the next morning and the principle was a bit up set with my class. score one for the seniors!
109,"What makes my friend raania happy is looking after animals. It's the same for me as I am doing animal care in college. Today a fully grown doberman sat on her lap, fell asleep and nearly hit a...",Things went from an all time low to an all time high and I quit coming here. I'm so glad this place still exists and I hope it's just as good as ever before.   I am back though cause I'm in need of...,"@Doll I read most of your post and didn't see what position this was you were interviewing for, but I just may have missed it. I'm going to approach this from two ways, one from an interviewee...","Wow...I'm totally discovering my Fi now that I'm out in the real world, single and put under tremendous pressure at work.   I had no idea what love was when I was in college and constantly adored by...","I'm not just here, I look at the new post lists . its just I don't find much I care to post on","Hello and thanks!  I'm a procratinator and probably always will be. I have to recommend this though, it's hilarious and spot on: Why Procrastinators Procrastinate | Wait But Why  dont miss the...","Rachel: ESTJ, no doubt. I see so much of myself in her.",I have no probem making an ass out of mysef just to make people laugh  My favorite line from your video  I used to think that staying home for hours playing video games listening to music was...,https://www.youtube.com/watch?v=pULe7-6yRo4,"Both of those, and your description sound quite a bit like me...  ISFP sounds like enneagram 9 and INFP sounds like enneagram 4.I'm definitely E9, though so that makes me confused with this... I...","i cant stand the interviewer christ that laugh...  is he intj? hmmm  it would be interesting to see an intj on this show, i doubt they would be that interesting to the general public though ...",Bucket list 1.) Become immortal.,Striver then Achiever no idea.,Welcome ^_^,I think it's important to be open and honest so we can reach some level of self awareness. Behaviour that is dysfunctional/damaging to the self should be identified and labeled as such. What I have...,thank you facebook...
110,"My name is raania and I would also like to post, I am using my friend abitsilly's profile. - Someone who is funny, kind, someone who would be able to get along with my friends and family....",You ever get that feeling that there's absolutely nothing do do even though you have enough stuff to do that your day would be constantly busy.   It's been 5 days since this break has started with...,Congrats!,"Public auditing is a service that certified public accountants perform for corporations.  If a corporation is publicly traded (i.e. on the stock market), it's required to have an independent auditor...",tired... lol I don't get the sleep I need.,"I've been in a relationship with an istp guy for 1,5 yr now. We live together. I think we're super compatible! We had some fights in the beginning, or I dunno if fight is the right word, rather me...",Dean: ENTP Sam: INFJ Castiel: ISFJ Bobby:ENTP  Just my opinion.,"Eventually we will get over it, but we will think of you differently(atleast I know I would)",I've been told that I'm OCD and I'm aware of it. For me it's more than just obsessive cleaning and things of that nature. I've come to understand how it affects things such as obsessing on a thought...,"Hmmm. Well. People wear me out, and I usually need a lot of alone time after I've been with them. I vote I.  The N/S concrete/abstract thing is hard for me... I would probably take an abstract...",know yourself and be yourself,Both ENTP and INTP could be considered the Jack of all trades in my opinion. *Cricket sounds*,"My friend just bought a bow tie, it suits her so much, its so cute similar to this stye http://www.brixpicks.com/wp-content/uploads/2009/11/bowtie2.jpg",Welcome Emma!  I sincerely hope what you discover here helps you as much as online forums have helped me. What's your favorite fast food? Do you like duck? Everybody likes duck.,"Fair enough, I suspected that was what was trying to be communicated. I still think a lot of INFPs are rather childish in terms of how they deal with difficult situations, as well as how they handle...",I feel like stalkers are becoming more frequent.....
111,http://www.youtube.com/watch?v=cq_VeUMtyzU,I've been selfish and I believe it is my right.  I have no patience with my professor. I'm far better off learning on my own.   I've been lazy and need a job.,Not sure what you are saying... to busy noticing the obvious resemblance between me and your avatar. :cool:,"Every profession will be a challenge.  There's no easy way to a successful career.  I, too, wish there was a way to be lazy, show a few hours of my brilliance, amaze people, get paid and chill the...","ask family for help, if they won't ask a best friend and pay him back later. other why's sell blood, semen, and organs...","I'm sick of this shit, but I like this place anywaysss",I could tell so many stories about my short temper... I'm terrible about it.,A shooting range with moving targets is always fun,https://www.youtube.com/watch?v=XkbQDChgmX8,"I think this is really hard to type because its seems like you have a clear idea of who you want to be/ how you want us to type you (that would make me think Pi, but...). The strong directive toward...",Do you think Fi or Fe sounds more like me?  which one do you think sounds like you?  Why do you require input from others to know what you are?,Your argument is something that a nazi might say and is therefore wrong (Reductio ad Hitlerum).  My other one was an appeal to tradition or if that doesn't work for you there are other fallacies...,"ok, ive gotten through 60pages...getting tiring... where are all the ISFJ posters? ok, so we might not be as interesting as some other kinds, but surely someones done some? have only seen a few...",I think firedell hit the nail on the head there. I wouldn't want to get to close to someone I probably would never see again. Long Distance relationships suck. Especially if you really felt magic I'd...,"I'm an ISTJ. My personal opinion based on a number of INFPs (as well as ISFPs, actually) I've interacted with/come across on this forum... yes. Many INFPs do come off as rather childish. I don't know...",All this talk about how epic mountain biking is makes me want to try. To bad I live in the flat as hell Midwest. :dry:
112,absolutely I think it would be un-NF-ish not to help another in need.,"Happy belated Higgs-Boson day. That is nothing official but yesterday was one of the most important days, definitive evidence of the Higgs-Boson particle actually exists.","So we should make it a form with some sort of digital signature so we know they have read the disclaimer, otherwise it was all done in vain. Unless everytime someone doesn't understand us, we go...",Sounds like falling head over heels.  I sorta get that way with love interests sometimes.  I'm aware of how illogical it is but also like to indulge in the feeling - especially when its reciprocated....,"I'm a ESFJ guy, I do my best to help others and its nice to get a thank you of some king every once and a while. ill tell you though there are down sides to being a ESFJ. some times I argue will my...",I am overly sensitive to critisim but as my boyfriend is an istp I'm getting used to handle straight forward comments :),"Ok, thanks. I'll be changing my profile back to ESTJ. :)","You make a good point, I guess I got excited for the fact that I ran into them after all these years, I was hoping not to lose contact with them again",I'm working on a song I've been trying to learn for just about a year. Was hoping to finish it before the New Year but still have a ways to go.,what happens if i bump my own thread? i just want friends... i'll type you back... let us all love and assist one another in this wonderful process of personal growth...  i'm being hyperbolic but...,"Question: do INTJs lean more towards Alternative Rock then other types of music? And if so, why?   My Answer: well, if you went through all the pages and then sorted all the songs by genre/style...",I've read a book with a similar idea except done in a much better way.,"http://i1038.photobucket.com/albums/a465/acey86/rings-10Large.png I have this, but in yellow gold - Ceylon Sapphire and Diamond - my favourite stones...","Yeah of course 360. What do I live under a rock? Haha. Sure what's your gamer tag? Mine is 'The Action Ash'  I'm not online atm because of traveling but I will be eventually, which is when I will...",Hey! Welcome :),Not a fan really...every one is all lets get along and be cheerful for a week then every thing goes back to normal. If you and I don't hang out in the first place what makes you think I want to be...
113,If you need advice or someone to talk to come here! Post your questions or dilemma's and a panel of experts will get back to you...  I am having a dilemma please go to my recent blog entry and read...,"Yes maybe, but i don't think my friend would be to happy with me sleeping naked with someone other than her.",What's the need for an advisory claiming that they may be skipped or may be ignored? Just do it and if they don't get any responses... they'll get the idea.,I was wondering how you all liked the profession and work.  Supposedly its a good fit for our type.,I have been depressed so depressing things. some times ill play rock songs and sing.,"beside me-a snoring man. but nor just any man, but the love of my life.  Me - naked, drunk and hunggry for some buttery garlic bread or something :P","So what you're saying is that xSTJs need to use their time efficiently and they like being busy? Thanks, I was feeling a bit confused.","As long as fun and excitement is shared between the two then it could work  but women can be mean and catty towards each other for no reason, MEEOOOOWWWWW",Sons of Anarchy is the first TV series I've followed since The X-Files WAY back in the day.,I don't know if I am one of you but it's likely so heeeyyyyy erryboddy. i may be seeing more of you soon.,"sometimes i look at people and i see them , well on the outside at least, doing all these things and saying all these words and i wonder what it would be like to act that way... am i missing out on...",That is adorable.,Welcome fellow ISFJ-er! And fellow Libran! and fellow newbie :happy: Enjoy the forums :laughing:   and i forgot - fellow Gen Y-er,Do you mean in person or on the internet? I'm coming to Chicago in August. That's close to you.,"I disagree, based on first hand experience. And it's definitely not out of pride/fear of rejection. But I don't want to dwell on that.  I hope you'll consider initiating conversations more with...","I personally don't like clubs, but if I'm drunk I'll go with friends"
114,":unsure: I'm not sure I can consider myself to be old being the big 24 (not to be confused with the big 25, 26 and 27 etc. etc.) When do you consider yourself to be beyond saving, is it when you...",I am content with being different.   I like it when others think I am strange.   My aloof attitude is nothing less than me being drowned in deep thought and wonder.   I love how I can feel and...,"I think stating that people should be able to post what they want, however they want, just as long as it can be reciprocated is nothing but objective. I know I have posted in the F forums before...",I'm about 2 weeks away from completing a solid year as an auditor for a small public accounting firm.  I was probably my most dedicated to the job at the 7 month marker and broke down at the 11 month...,I think if you save sex for when your married. it will bring you closer to your wife in the end. maybe you need to get some more friends with your level of morals. try joining a church. I go to the...,"Hi!  I would say that it hasnt so much to do with type as on how you would define friend. I, for example, would say I have many friends, but then, there're just a few that I really trust...  ...",I know right?! I saw it on someone else's signature and I actually tried to swat it away XD,This is something I've been thinking about for the past week and Im curious of my fellow estp's views on my concern.  Well lately I've been invited to group gatherings and we would all go to each...,https://www.youtube.com/watch?v=2R2NrV4ve1o,"I think I'm kind of feeling the satirical anonimity for the moment. (...look at this pretentious college girl...) but, i'll head over there if it ever gets to be too much... which it probably will.....",a lounge huh? what does one do in a lounge?  or is it best not to define it and just enjoy it as is?,INTPs are terrible people.,"no, i can't relate. i often think others are naive, but not myself, im usually up on things.","Introducing... The Action Ash!  She loves music and concerts.  She drinks beer and plays xbox. She's 22 and traveling the world, working as a nanny to fund her overseas experience.  Enough of...",Would be great. Then we'd all stop wasting time on people who aren't interested in making meaningful connection.,"My parents had me checked for ADD when I was a kid, but they never told me the results....I assume since I'm not on meds that I don't have it. I do wonder though cause a number of teachers asked me..."
115,"creepy exes..oh boy. You could say that, one even stayed outside my house hiding in a neighbors garden till he was caught.  They just don't want to let go. Which is something I can't understand.",I have been sleeping naked a lot recently. Pretty much every night for the past few weeks.,Who was told how to behave? The format idea is certainly telling people how to behave. I only noticed expression of opinions that couldn't be taken on the chin just as we expect others to be able...,"While I completely agree on all your points - she needs to take a chance.  If theres any time for heart break, its when youre young.",we all wanna make perfectly beautiful art. but in order to make that beautiful art you have to make mistakes. no one wants to make a mistake. so a lot of people don't try.  my advice. start small...,"Hm...I don't even know your type, but I saw on youre profile you're ennegrame type 9 (as so am I) so... stop being afraid of criticizing others. If you express your opinion in a thoughtful and nice...","For the first thing about possibilities, definitely. I ask myself that all the time. About the second, I'd rather do something useful that something that wont even be finished.",^^ LOL ^^  Fizz is my new favorite member on this board,Fleeting,I feel like I just got lots of hugs. thanks everybody. :p,Do it,I just enjoy ENTPs in general.,"Completely true. Won't utter hardly anything on a subject i dont know about/arent interested in, just a nod, smile, 'uh-huh' style. Something I know about, especially if people dont expect you to...",IndyAnnaJoan AWESOME video! Perfect for this thread. Thanks for sharing. ^_^,Welcome (Again :P)!,18 Illinois/Ohio
116,"Someone who'll look after my mind body and spirit and do it effortlessly   Someone who really wants to talk to you at the end of the day  Someone who likes books, not t.v  Someone who really...",Hi everyone  I hope i can be around more often than i have been and i have truly missed this place. I know it has been a while and this may sound like a record some other former member has played....,"Monkey King, Irl what do you do when someone asks you a question or makes a statement that you don't understand? Do you stand there and look at them like they are a fool until they simply walk away,...","1. You are: slightly dominant.  ideal partner would be nuetral/sub  2. foreplay beginning at dinner - making love eyes, whispering terms of endearment in her ear while tracing her hips.  lots of...",I like green too! color of life! and camo is fun to play with when camping,I feel this so strong that it must be true.,"Up until a couple months ago, I thought I was an ESTJ. Then someone told be that it's unusual for ESTJs to be on forums, and I love forums. But the thing that really made me wonder if I was ENTJ was...","hell yeah man, I could never talk to people about my relationships regardless if theyre good or bad. Why because its none of their damn buisness. I believe that whatever goes on between two people...",I'm not a big book person but every now and then I go through stages and force myself to read more than I normally do. One book that always stands out in terms of interest while reading was ''Venus...,I agree. I'd vote some sort of NTJ.,"went on holiday for just over a month, thought things would change. How naive of me..  feels nice to browse back on this forum here though, its been a while since i surrounded myself with somewhat...",Ideas.,"I sort of agree...though not necessarily sure if its due to type or simply the person.... I always pick the ugliest animal etc, or the one with a problem, so i can take care of it and it will love...","Blood - I did the mypersonality.info thing that you have in your sig, and I tried to put it in my sig but it didn't work. Any advice for me please? *batts an eyelash*","Would be interesting to hear about how you think your devaluation/discard (because that is what it is, at the end of the day) impacts the other person.","Khys, I have a cousin with Aspergers. Hes really a great kid guy right now hes going to engineering school. When we were kids we never really talked, it was mostly just smiling and playing games. I'm..."
117,"I was just listening to bohemian rhapsody by Queen and resonated with it.(not about the part where he killed a man.lol)  People think we are just day dreamers, no hopers, with no direction or...","Im stuck in a place that scares me and pleases me. On either end there are aspects that weigh down one side, but there are equally just as many things weighing down the other end making everything so...",I'm not sure that demanding that a question be clear will eradicate any misunderstanding of the question. What makes a question unclear? It seems to me requiring a question be asked clearly alone...,Accounting aint so bad.  work hard doing tendious boring things your first few years and get certified.  opportunities to do all kinds of interesting things will arise.,I am a ESFJ guy. I have a VARY hard time dealing with stress. I don't tell anyone. guys make fun of me for feeling as much as girls. and will bite my head off if I cry. and telling girls is a bad...,"HI! I'm a little bit too drunk now and I havent been in this forum for ageeeees, but I finally found love!! And thats with an istp-guy!!!!!  We've been together for like 9 months now. He's the best...","If you do something for the good of society, if affects you too because you are part of society. If half the country were about to die, you would help them not just for moral reasons, but for the...",Worst Job - Fast food resturant  Best Job - Commission drawing  Dream Job - racer,https://www.youtube.com/watch?v=9utPTpXpIgE,oh my goodness... these are great.,"yes i would say i am, more than physical appearance to an certain degree.  what are they? i am unsure they just generally cant be a terrible person by my standards",Another INTP in existential crisis mode...,Sense of Humor        82% Sense of Fashion        69% Relationship Intentions88% Intellectual Pursuits        39% Physical Appearance67% Financial Situation        50% Hobbies and...,When I have negative feelings I think about the issue. Usually it's some horrible person being unreasonable and acting immature whilst failing to see logic. If this is the case I take a deep breath...,I love this quote:  Sometimes you hold back from talking to someone not because of your pride nor because you fear rejection.  But because you know deep down that if they wanted to be there in...,Karim want to write a couple of papers for me haha
118,"OMG you haven't read Terry Pratchett's Discworld novels? You have not lived, it's enfp paradise. Inna book!",For all you pirates,"Out of curiosity, in what format/presentation style do you propose other types ideas to be presented in? And does this format/style apply to the ENTJ's as well?","To be honest...its hit or miss, haha.  Sometimes I'm spot on.  Other times, I'm way off base.  It takes probably a good 15 minute conversation on more obscure topics/a battle of wit (like personal...",I play metal or rock mp3s and let it build up over months tell I blow up. sometimes I take it out on others but mostly on my self. not vary healthy I know. but any time I tell someone they take it as...,"Case Report  Well, he was very charming, very talkative, open, curious about me, warm. I was shy as hell so I dont think anyone seeing me would have typed me esfp. He was acting kinda gentleman...","Yes. If you didn't kill the single innocent person, hundreds more innocent people would die. If you didn't kill the single person, you'd essentially be indirectly killing hundreds of other innocent...","thanks  Im single, therefore, more money in my pocket, less money spent  *self high five*","Frustration got the best of me today, and has been a lot lately. Having a couple Heinekens right now and feel a bit better. :) This is a difficult time, and is going to be for a bit, gotta maintain.","if you're looking for some help distinguishing between 9 and 6, you might want to do a youtube search. a bunch of really good videos have come up interesting from 'goconscious'. there are also some...","i like to lurk, in my case at least its mostly because i tend to believe i have nothing interesting to contribute to the conversation so why add anything?  logging out to purposely lurk seems like...","I think I heard about this happening once. If I remember the story correctly it generated a new life form, ended the cold war and was about the same as most human to human interactions.",Im terribly goofy when im surrounded by my close friends or family...to the point where theyvre been queried before about my introvertedness and all gone...HER? an introvert?! no way... If im having...,1: Green  I think this relates more to my star sign as an Taurus-Earth-Snake than to my MB as an ISFP.  Oh and I like nature. There's a lot of green in nature. Hehe.,"Library... what's that? [emoji14] just kidding, though I haven't been to an actual library since I was about... 10? That would be 16 years ago? I have Amazon Kindle, and Audible, so I have access to...","Dear Professors, Most of you have doctorates. so what made you think it was a brilliant idea to assign a crap ton of papers at the end of the semester?  Annoyed and unmotivated istp"
119,"I too have felt the nastiness of parents and the using by friends, families and fiance. It sometimes seems the only option is to be alone. But for us that is no easy option, as we crave the...","I've just doubled the number of girls I have kissed, ever. Guessing the grand total should be rather easy.",I for one enjoy the varying ideas and viewpoints. I don't think anyone or type should be discouraged either through disclaimers or ridicule from posting in our forum. It seems as though we would be...,"I dont really do this to people who show a genuine interest in knowing me since I feel its belittling to them.  Unless, of course, one of the first questions they ask is what I do for a living, haha.",no. I hear it vary good though.,"LOL it's interesting you say that. About that you appearing to be another type than who you really are, if someone runs into you. :-)  And yeah, coffee date it is! ^^  From the mails we've...","If you constantly feel the need to control others, you might be an ENTJ. Guilty.",When you see the humor in everything around you,"Find balance, get more in harmony with life and position myself to capitalize on any opportunity that presents itself. Within that lies the path to a more fulfilled life, at least I'm hoping. ;)","Hi, everone! I'm new... definitely an introvert and most likely a feeler, but I don't know what kind... I just posted in 'what's my type.' just sayin' hi. Anyone wanna be friends?",i think id wait for him to swing first before taking further action but i would not  encourage them to take a swing  a part of me wants to fight him though...,My room mate is often very annoyed with my sleep schedule and I'm often woken from a nap when he walks into the room.,"Hugs are nice, when theyre from people you know...and arent creepy hugs. I like unsuspecting hugs. For example, a friend of mine, who ive been seeing more of lately (just moved house, closer to...","My definition of bad boy: wears leather jacket, rides motorcycle, likes rock music, drinks, does drugs, smokes, and is aggressive. Am I attracted to him? Sexually yes. Would I want a relationship...","Hello fellow ISTJs :)  I'm looking for some book recommendations! I don't know what I'm looking for exactly, but something for my T. I'm interested in self development, and I've been going through...","I don't fit in anywhere. Why is it bothering me all of a sudden, it's bringing back horrible memories from middle school and high school....."
120,Or rather my restlessness comes from not being able to find my niche.,"Its crazy what something can do that structures your thoughts, instead of trying to change them and make you into a cookie cutter model of what the ideal person is suppose to be. Some of those self...","Be happy where you are, but never be content to be there.  - L. Rogers","It makes perfect sense.  As extraverts, thinkers and perceptionists, we can become overly sensitive to judgement and reactions.   The sooner we break free from this and build our confidence, the...",I am a ESFJ guy. not many of us I know. remember we are not all the same so this would work on me but maybe not on another ESFJ guy. tell the truth. speak ESFJ if you want. ( tell your feelings) and...,"Thanks guys, well I'm 30 and he's.... 33. yeah lets just see what happens. I'm so nervous though, I'm tired of dating. tired of falling in love, mostly unhappily so, tired of being disappointed....","Tell me why, if there is a God, why wouldn't He help all the homeless and starving people? Why would he let disasters like Hurricane Katrina, the Japan earthquake, and the Joplin tornado happen?...",What's on my mind as I shower? that's simple  My balls smell like sweat & baking soda,https://www.youtube.com/watch?v=RoL0nRuHj0I,"You sound a bit like an ISFJ to me... there's a lot of empahsis on the familiar an dthe comofortable, but also an emphasis on the others, FE-style.",would you say there is complexity in simplicity?,Hey guys! Great thread!,"I think that's it! I like to live unnoticed, and hate being centre of attention or, person of ones attention... perhaps this is why ill always be single...i dont like people making me out to be...","Are ISFP less sexually permissive? No.  Are ISFP very monogamous?  Yes! If I wanted to cheat on a partner, I would break up with them, then perhaps stay FWBs.  What are ISFP 's views on one...","Nothing is going to change unless you change -- and this takes some effort. That's not to say you're not trying, but you need to try harder. And it all begins with changing the way you think.  1 -...",why so many papers?! why!?  where can i find aderal....
121,"I know about this as I have experienced this a lot, I have no definitive solution but when i'm bored I go out for walks, catch the bus into town, I find that helps alleviate the boredom. My boredom...",I am a.math major and I am specifically working on an applied engineering physics degree. I like what I study because I have been able to learn how to absorbed rational/logical thinking and I want to...,"Being fairly new in my position, it felt good to give a member of my team a raise. I am rewarding those that deserve it, and slowly weeding out the dead weight and replacing them with qualified...","This is why you are an extravert.  I, too, get annoyed by the venues that night life has to offer.  So much so, that i went through a small depression because I isolated myself from it during this...",I am a ESFJ guy.  truthfully is a good one. speaking ESFJ is a good one. what I mean by that is. when you talk to us. tell us how you feel.,"Oh I have to say that my best friend is enfp, and we have a deep connection I believe.  Although I feel like if the enfp-personality is kinda, you know, girly....?  sorrysorry",You might be an ENTJ if you desperately feel the need to control people who do things wrong.,I do believe in something that maybe could be considered religious  for example: I believe in karma,I'm not a touchy-feely person and don't care for folks I don't know feeling up on me. My response depends greatly on the person doing it. Some people are just naturally affectionate and it's their...,"Anything music related, as long as I'm not playing with people who see music as a science. I hate when people play an instrument and learn every scale and every piece of musical theory but they have...","I normally vote for whoever amuses me the most..  perhaps one day i'll care more  Edit: other than what amuses me at the time, ill vote for whatever would apparently benefit me the most....",If I post on this thread once that means I'm going to have to post again and then I'll eventually never be able to stop posting.,"Happy  made me smile :) we could all use a little love now couldn't we. I dont know if its me or my type, but id rather things that arent physical. Quality Time spent with special people in your...",Appreciate the little things I do for you. Kiss me on the cheek sometimes. Laugh at me when I'm laughing at myself. Be a goof with me.  Help me when I need you. If I'm being stubborn leave me...,"What's the one thing that makes you most happy in life/happy to be alive? Feel free to detail how it makes you feel, and perhaps try to explain why you think that might be.  If you can also include...",The one I know is exactly as dusty described
122,It's true in england they use the arts including humanities.,"The only book to ever have an affect on my life was  The Myth of Sisyphus . Not a typical self help book, but it helped me.",Sore and exhausted... that sums it up.,Come to think about it - this is on the initial first time or two of hanging out.  At some point I'll end up making an effort to talk to the person...but its usually really dry and safe topics -...,any way you can. I like chatting with everyone I know. I am shy with people I dont know. so give us time and include us tell we feel ok to open up to you.,Thanks for your stereotypic input guys :P  Well I'm very curious about this date. It will probably take place saturday :-) I will report! :D,"yeah, ENTJs are scarce. It's kinda sad.","c'mon people, dont let a good thread go off subject",https://www.youtube.com/watch?v=oYZh9yQu1fo,"I'm throwing in my vote at ISFP-- lots of Fi, definitely Se (number 8, your response to the photo.)   I'd just say, don't listen to the people on this forum who are demeaning to ISFP's...",long distance is hard,If I keep making threads I am eventually due for a good one.,"Hi, thought i would take the time to introduce myself. Im a 24 yr old female from Brissie, Australia. Don't know many people who use the MBTI system, but learnt about it, and my type in my last...",I just realized it is bed time and I'm hungry. I hate it when this happens. It's so lame. I don't want to eat something now because then it will take ages to go to sleep but if I go to bed hungry...,"The problem with that is it's difficult to know whether the cause is some chemical imbalance, or if I'm doing something wrong. If it's something I'm doing wrong then drugs would just be hiding it,...","do the ones you know retell stories daily?  There a girl I know and I think shes an esfp, I can't stand to be around her"
123,"You are not alone, all of us are on a journey of self discovery. To err is human to forgive divine. I too am in the same boat as you.. I also had alot of childhood trauma to sift through. But I am...",WonderN2Wonder WoodsofDesolation She's too friendly and aloof which could be just as harmful as helpful. I appreciate it though. It would be different if she was lost in my neighborhood and.not a...,I will... thanks again!,perfrect example of why we are too smart for their own good.  haha.  you know how I know how you're an ENTP? lol,i dont know how to spot them yet sadly..,"Hi ya'all!!! :crazy::crazy:  You ENFP guys, have you ever fallen for an esfp girl? Or do you think you could?  hugs!:tongue:","I usually wear jeans and a t-shirt. But if I had lots of money and you were asking me what would I wear if I could shop anywhere, I would probably be wearing clothing from this website- Mod Retro...",I want to dive right in,"https://www.youtube.com/watch?v=d5abdXpvBR0  ...Very frusterated, wrestling with thought, and not winning.",from what arrow said... have we thought isfp?,INTJ's and what effects their sanity levels  Mental illness,I'm not sure about social protocol in the area where you live but I've personally never been bothered even in the slightest about asking to go over to other people's houses and I think it's...,I was wondering if other ISFJ's have a tendancy to feel awkwardness or embarrassment in general situations?  say: My phone rings in public I have to walk through a group of people alone...,I have major conflicts with Js - we can't agree because we think so differently about people?,"For the past few days I've been on the verge of tears throughout the day. And when I'm alone I just want to cry. I honestly don't know why, or what's triggered it. Being off work for a few days...","If its just a gathering like prom or homecoming, last to show up first to leave. really only went so my friends wouldn't get upset.  If its a smaller party i show up when ever and usually spend..."
124,"Has anyone studied religion and theology, how did it go for you?","My dog disappeared today while my parents took her and the family labrador to their business today. She just upped and walked away; when my mother told me, i could tell she was fighting back tears. I...","Nothing really comes to mind, my experience with it is too limited. I just know that I like the Indie rock that I've heard so I was curious about others to check out. Thanks for the list. I'll check...",Holy smokes - I feel the exact same way.  There's something about a person's gaze that seems to give insight into how smart/aware/perceiving they can be - I usually equate that with intelligence. ...,I blast my MP3 player. if I dont have that I do over the top things to deal with the stress :/ not fun to be around me then.,you slut ;) with love of course :-*,"I, I'll get by I, I'll survive When the world's crashing down When I fall and hit the ground I will turn myself around Don't you try and stop me I, I won't cry  -Alice by Avril Lavigne","Very true, its best that art is for making money on the side and not your primary income",Escape From Alcatraz,piglet seems to be quite controversial.... but i kind of peg him as an infj.,"So i think about which thoughts i wish to express in written format, then i proceed to perform the physical movements necessary to express the required thoughts in whichever medium is required or...","You could try suggesting bonding activities such as playing a board game together. I personally enjoy chess, but there are many two player games or even video games work. Playing games together may...","Agree with this post. i HATE phones. I hate talking on them.  I feel uncomfortable and totally agree with the awkward silence thing.  I tend to think, perhaps over analyse, thigns that are said and...","It's hard to answer this because I've only fallen in love a few times, and usually it always starts with obsession.   I'll totally be obsessed with him, want to be with him all the time and want to...","I feel like I'm having a 1/3 life crisis. I don't know what I'm doing, and nothing makes sense anymore. Life really isn't fun right now :/ If I could magic it away as if I never existed and no one...","what is love like. why do I have to right so many papers, and why do I continue to put them off to the last minute knowing the consequences."
